TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SVA1622003,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\HDLW953.ATSPF,1990.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42529.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,2.0,30.0,,,,,,,,,57.0,2.0,53.0,11.0,2.0,0.0,,,,23.0,6.0,1.0,18.0,6.0,2.0,25.0,4.0,1.0,,,,,,,12.0,1.0,0.0,19.0,1.0,0.0,129.0,0.0,113.0,0.0,124.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187324384237854999900000000X,,,X4263172544188572788628465454224764467358318431787574786645400000000000000000000000150021003800390021003300230049001800210020006200280024003900290027002600390040003400400047004500240024003001520058004000760199002200220048009000320022007901290022002100610071004100210029004700440055008801710030003200740049002600370071000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012880400801296001100003800047006900082500000000000000000000000000000000000X,,X421343322414523423524414555031232412252441414232542332660000335323251322233425235546524521X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000000001001001000000010000000000100000000000100100000000100000100010000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342331431211422220000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111011000011111010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111101001010100011111101011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101101111100101100100101111101110100111010100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612009,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\QVAI618.ATSPF,1985.0,Kvinna,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,42499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,2.0,22.0,,,,,,,,,52.0,3.0,45.0,9.0,2.0,1.0,,,,26.0,1.0,0.0,22.0,6.0,2.0,18.0,9.0,0.0,,,,,,,15.0,1.0,0.0,13.0,0.0,0.0,130.0,1.0,129.0,3.0,128.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762345416657199379984000000000000000000X,,,X4263172544188572788628465453224364465358318431787573786000000000000000000000000000170015001800390019003700220088001600260024014100240025003000310030002500270146003500240024003900230020003504670027001501060088001600210031010700250022001902680018001400500029002300260041004300330026004402330027004100540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700009000320000900023012860400801296327650003800003006900000000000000000000000000000000000000000X,,X421343322314524413524435525000232412252441411542242351405054335322251342133424345545514000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000001010000000000100000000100000100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431200000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001001010111010111011000011111010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011110000110101001010100011111101011001101110011010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110100101011111100101111001011001101011101101111100101100100101111101110100111010000101110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1622002,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\JJTZ483.ATSPF,1973.0,Kvinna,"1 Särskola, hjälpklass, ej avslutad grundskola",Svenska/Danska/Norska,42492.0,alisn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,0.0,42.0,,,,,,,,,14.0,14.0,5.0,,,,,,,1.0,4.0,0.0,3.0,9.0,0.0,1.0,9.0,0.0,,,,,,,6.0,13.0,0.0,5.0,10.0,0.0,55.0,9.0,33.0,3.0,45.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X615686472512162148267852141526532823532638X,,,X4263435352132512888418765457000000000000000000000000000000000000000000000000000000470035003300480048016400470055009000710115004501480157004200310110010201510083022301990155006802500120012500620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X454230000000000000000000000000224332432213000000000000000000144125432200000000000000000000X,,X0010000000000000000000000000001000000100000000000000000001000000001000000000000000000000000000100000100000000000000000000010000000100000010000000000011000000000000000001001000000100000100000000010000000000001001000000000010000100100000000000010000000001000001000100100000000110000000100000010100000000100888888888888888888888888888888888888888888888888X,X411224133133211000000000000000X,X0101010101000110101001010100001101011010001100100101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110000111101101010011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1010000010100001110010100000000101001110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1622001,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\EGEW348.ATSPF,1994.0,Man,Okänd,Svenska/Danska/Norska,42487.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,3.0,24.0,,,,,,,,,38.0,10.0,25.0,5.0,5.0,0.0,,,,12.0,6.0,2.0,9.0,3.0,18.0,2.0,2.0,26.0,,,,,,,12.0,1.0,0.0,14.0,2.0,0.0,64.0,2.0,85.0,1.0,108.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187379984999954000000000000X,,,X4463172544188772788228465455224366427752317431780000000000000000000000000000000000210028002600270019003800280079001900250024009000340029004000920041005000220126004500490115012300680024003102140043002202290061002600160026006701040022002001010018001901260033007100380173010400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000500020012860461201296001390003600000000000000000000000000000000000000000000000000X,,X423343352614514416110000000000232416616665436666652656666666635166666666666666666666646666X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010010000001000000010000000000100000000000100100000000100000100010000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344321441211400000000000000X,X0101010101010110111101011101001101111110001100110101001110110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100100111010011011011111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111000101100101101110100101010111100001111001011001101011101101111100101100100101111100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612008,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\SPSE712.ATSPF,1980.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42440.0,Yrsa Petersson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,13.0,27.0,17.0,63.0,10.0,,,,,,,5.0,25.0,0.0,1.0,11.0,18.0,0.0,1.0,29.0,,,,,,,4.0,13.0,5.0,4.0,10.0,8.0,30.0,0.0,30.0,4.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X27367313369999749999999973646499789999999999997672X,X4213162442478562736415534115427363333377355344444162827553655537245186866233555600760026002000120013002400200007003000230032002500390041003300220031002400240027003300420059003000380026002500270033001600490017002800170006000900070006003400370028002900280035002000180019004700240046004000610032005100540029005100520146001500270074013100180011001200080012002000170025002700430074009200080067004300290088X,,,X451541111122222555552222233335243143331166656666663666666666666666666666666666664666666666X,,X0000000000000100000000001000000000000010000000000000000000000010010000000000000000000000001000000000100000000000999999999999999999999999999999990000000011000000999999999999999900000100000100000010000000000010001000000000010099999999999999999999999999999999000010100001000000000110010000000100001100000000000001000000010101001000010000000010001000100000X,X499929314243931999324200000000X,X0101010101010110111101011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100110111010010101001010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010000111010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612007,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\XTKY296.ATSPF,1982.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42439.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,13.0,,,,,12.0,1.0,8.0,30.0,22.0,11.0,11.0,3.0,2.0,7.0,,,,15.0,0.0,3.0,9.0,1.0,8.0,8.0,5.0,5.0,,,,,,,12.0,0.0,1.0,10.0,0.0,1.0,66.0,0.0,54.0,0.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X272762519916997199000000000000000000000000X,,X53262426997582999932999927289915993699431700000000X,X4363172544178772747628765345228160000000000000000000000000000000000000000000000000250021003501240027011700380032002600490034007400330040014100870080015901100209008700540188014101910120012401060128011800580134003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007327653276500022327653276532765327650003800029327650000000000000000000000000000000000000000X,,X421343326614524463000000000000262416252661416666000000000000335156256162613655000000000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000199999999999999990100010000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321490000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612006,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\EDVX569.ATSPF,1970.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42429.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,4.0,36.0,,,,,4.0,17.0,4.0,51.0,31.0,20.0,18.0,5.0,6.0,0.0,,,,10.0,8.0,2.0,7.0,8.0,5.0,5.0,8.0,15.0,,,,,,,6.0,14.0,0.0,8.0,4.0,0.0,124.0,5.0,100.0,8.0,103.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X246743651481995314827154149971377299622399X,,X78261541185699997262378727869985542148432342219914X,X4261132552168572788618155457122561487356314831757340000000000000000000000000000000230037003300680027002900430048003900400070006700520042006000430026003100220075003500750029005900910047008400720058002500460107002800540039006700910086004500650034001700880064004000960070004800500159017800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000480000800020012860400801386001300007700047000000000000000000000000000000000000000000000X,,X465343332354114261510000000000212416162336415566450000000000646663256646136636661662412600X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000100000000000100000000000000100000000000000010000000000101000000010000000000101000000000000000001100000000010010000000000011000000000000001100000000000000011000000000000000000100100100010000010100000000110000000000100000010000100100088888888888888888888888888888888X,X442443331431000000000000000000X,X0101010101010110101101011100011101111110001100110101001110010111010010011001101111001110010110001001010111010111011000010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011101010110101101010011010011101011011001110110100100111010111011101111010110101001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101000101101110100101010111100101111001010001101001101110111100101100100101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612005,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\HIAZ979.ATSPF,1980.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42425.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,6.0,,,,,,,,,19.0,8.0,12.0,4.0,1.0,1.0,,,,14.0,5.0,0.0,8.0,4.0,3.0,6.0,4.0,1.0,,,,,,,10.0,2.0,0.0,7.0,3.0,0.0,38.0,0.0,36.0,1.0,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X276554000000000000000000000000000000000000X,,,X4263132144178772788438465370000000000000000000000000000000000000000000000000000000260052002701010023002000310079003400690069024200700025004201280034008600360239010600860288008500970048031400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700009000323276500023012860000000000000000000000000000000000000000000000000000000000000000000000X,,X421443322354554455500000000000232416214615456000000000000000135156251350000000000000000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000000001010001000000010000000000000000010000100100000000100008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X442341331400000000000000000000X,X0101010101010110111101011100011101111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111000110101101010011010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110110100001110101101110100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612004,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\EZZN066.ATSPF,1993.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42424.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,2.0,32.0,,,,,,,,,35.0,8.0,27.0,8.0,4.0,1.0,,,,11.0,10.0,2.0,9.0,8.0,8.0,8.0,14.0,3.0,,,,,,,16.0,3.0,0.0,19.0,0.0,0.0,115.0,2.0,113.0,6.0,119.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835499647199161287237854546865000000X,,,X4267172544188774788628165473212764457358318000000000000000000000000000000000000000170019002700430019002800200041002100270030011000270022002100430079006901250197004700460026004200350036004801790030004100530312002000390026016400770066013503450037002501000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860460801296001000003600033006903276500000000000000000000000000000000000X,,X411343362653555253114410000000632412265615456616453616400000335124252341611243661515200000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100000001100000000100010000000000000010100000000000001010000000000010000000000100000000010100001000000101100000000100101000000000888888888888888888888888888888888888888888888888X,X422342321431211422200000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010011001011010111010111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011100011011100110110100010111010011011011111010111101001010110011111001011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110010010100011010111100000000100101110000101010111100101111001011011101011101100111100101110000101110101110100111000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1612003,AR Växjö,Dator 02,eekcaARVäxjö,C:\Users\Public\Documents\Personer\HVQE716.ATSPF,1968.0,Man,Okänd,Annat,42391.0,oloak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,9.0,,,,,2.0,11.0,0.0,27.0,38.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,2.0,4.0,0.0,50.0,0.0,33.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282557780000000000000000000000000000000000X,,X15566872178682616245412352000000000000000000000000X,X4263172544188572728128465452222664467457318430000000000000000000000000000000000000720032003100460035006600210038002500260028008800650079002700690041008200350101006800260035013000340032002600780030003700260128006102400029009600450354002600550044003301170056003500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000099999999999999998888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X424213000000000000000000000000X,X0101010101010110111101011100011101111110001100100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
